"項目","単位","1980_S55","1981_S56","1982_S57","1983_S58","1984_S59","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","有効数字(少数桁)"
"農業編（総括）","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（総括）_1","","…","","","","","…","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（総括）_1_農家数_農家数","戸","57769.0","","","","","51815.0","","","","","47232.0","","","","","42990.0","","","","","39863.0","","","","","36531.0",""
"農業編（総括）_1_農家数_販売農家","戸","…","","","","","38045.0","","","","","34390.0","","","","","31726.0","","","","","28681.0","","","","","25594.0",""
"農業編（総括）_1_農家数_自給的農家","戸","…","","","","","13770.0","","","","","12842.0","","","","","11264.0","","","","","11182.0","","","","","10937.0",""
"農業編（総括）_2_農家人口（農家の世帯員数）","人","245524.0","","","","","221414.0","","","","","198727.0","","","","","175318.0","","","","","160175.0","","","","","134239.0",""
"農業編（総括）_3_農業従事者数（農業に従事した世帯員数）","人","147299.0","","","","","134027.0","","","","","122192.0","","","","","109931.0","","","","","106919.0","","","","","70461.0",""
"農業編（総括）_4_農業就業人口（農業従事者のうち、主として農業に従事した世帯員数）","人","93877.0","","","","","73649.0","","","","","68148.0","","","","","61314.0","","","","","58281.0","","","","","51218.0",""
"農業編（総括）_5_基幹的農業従事者数（農業就業人口のうち、ふだん仕事が主である世帯員数）","人","55041.0","","","","","49124.0","","","","","45915.0","","","","","42437.0","","","","","41389.0","","","","","38591.0",""
"農業編（総括）_6_経営耕地面積","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"農業編（総括）_6_経営耕地面積_面積","ha","35259.0","","","","","…","","","","","…","","","","","…","","","","","…","","","","","…",""
"農業編（総括）_6_経営耕地面積_面積（総農家）","ha","…","","","","","32965.0","","","","","…","","","","","…","","","","","…","","","","","…",""
